date,TOA,GHI,BHI,DHI,BNI
2019-03-05 00:00:00+00:00,83.6424,34.8443,10.0627,24.7816,41.4843
2019-03-05 00:15:00+00:00,100.1097,45.593,15.2052,30.3878,52.4591
2019-03-05 00:30:00+00:00,116.052,56.8841,21.177,35.7071,63.0843
2019-03-05 00:45:00+00:00,131.401,68.448,27.7931,40.6549,73.164
2019-03-05 01:00:00+00:00,146.0912,80.0509,34.8685,45.1823,82.5901
2019-03-05 01:15:00+00:00,160.0595,91.4952,42.2274,49.2678,91.3142
2019-03-05 01:30:00+00:00,173.2462,102.6166,49.7081,52.9085,99.3259
2019-03-05 01:45:00+00:00,185.5949,113.2776,57.1643,56.1134,106.6374
2019-03-05 02:00:00+00:00,197.0527,123.3631,64.4647,58.8984,113.2735
2019-03-05 02:15:00+00:00,207.5706,132.8063,71.4828,61.3235,119.2484
2019-03-05 02:30:00+00:00,217.1035,141.5842,78.0982,63.486,124.5692
2019-03-05 02:45:00+00:00,225.6107,149.5468,84.247,65.2998,129.3142
2019-03-05 03:00:00+00:00,233.0558,155.6557,87.9894,67.6664,130.7606
2019-03-05 03:15:00+00:00,239.4069,159.8295,89.1031,70.7264,128.9027
2019-03-05 03:30:00+00:00,244.6369,162.9923,89.3631,73.6293,126.5144
2019-03-05 03:45:00+00:00,248.7234,165.1217,88.7822,76.3395,123.626
2019-03-05 04:00:00+00:00,251.649,166.2005,87.3804,78.82,120.2582
2019-03-05 04:15:00+00:00,253.4011,166.2175,85.1849,81.0326,116.4242
2019-03-05 04:30:00+00:00,253.9724,165.2389,82.6011,82.6378,112.6368
2019-03-05 04:45:00+00:00,253.3604,163.3899,80.3131,83.0768,109.7796
2019-03-05 05:00:00+00:00,251.5678,160.4999,77.403,83.097,106.5536
2019-03-05 05:15:00+00:00,248.6024,156.5815,73.8653,82.7163,102.8939
2019-03-05 05:30:00+00:00,244.4769,151.6671,69.761,81.9061,98.8136
2019-03-05 05:45:00+00:00,239.209,145.7985,65.1598,80.6387,94.3252
2019-03-05 06:00:00+00:00,232.8214,139.2849,60.4785,78.8064,89.949
2019-03-05 06:15:00+00:00,225.3416,132.174,55.7617,76.4123,85.6825
2019-03-05 06:30:00+00:00,216.8015,124.2716,50.7331,73.5384,81.0215
2019-03-05 06:45:00+00:00,207.238,115.6595,45.4805,70.179,75.979
2019-03-05 07:00:00+00:00,196.6919,106.434,40.0991,66.335,70.5739
2019-03-05 07:15:00+00:00,185.2086,96.7068,34.6909,62.016,64.8329
2019-03-05 07:30:00+00:00,172.8373,86.6065,29.3629,57.2436,58.7937
2019-03-05 07:45:00+00:00,159.6311,76.2794,24.2249,52.0545,52.507
2019-03-05 08:00:00+00:00,145.6467,65.89,19.3861,46.5039,46.0395
2019-03-05 08:15:00+00:00,130.9439,55.6326,14.9701,40.6625,39.5288
2019-03-05 08:30:00+00:00,115.5859,45.7695,11.1596,34.6098,33.365
2019-03-05 08:45:00+00:00,99.6385,36.402,7.874,28.528,27.2838
2019-03-05 09:00:00+00:00,83.1701,27.774,5.1827,22.5913,21.4857
2019-03-05 09:15:00+00:00,66.2513,19.9867,3.0768,16.9099,15.9647
2019-03-05 09:30:00+00:00,48.9547,13.0846,1.5236,11.561,10.6235
2019-03-05 09:45:00+00:00,31.3543,7.2173,0.5333,6.6841,5.6705
2019-03-05 10:00:00+00:00,13.5258,2.5686,0.0733,2.4953,1.4733
2019-03-05 10:15:00+00:00,0.551,0.0851,0.0001,0.085,0.0
2019-03-05 10:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 10:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 11:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 11:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 11:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 12:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 12:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 12:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 13:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 13:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 14:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 14:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 15:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 15:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 16:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 16:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 17:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 17:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 18:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 18:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 19:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-03-05 19:45:00+00:00,0.0,0.0,0.0,0.0,0.0
