date,TOA,GHI,BHI,DHI,BNI
2019-03-17 16:00:00+00:00,0,0,0,0,0
2019-03-17 16:15:00+00:00,0,0,0,0,0
2019-03-17 16:30:00+00:00,0,0,0,0,0
2019-03-17 16:45:00+00:00,0,0,0,0,0
2019-03-17 17:00:00+00:00,0,0,0,0,0
2019-03-17 17:15:00+00:00,0,0,0,0,0
2019-03-17 17:30:00+00:00,0,0,0,0,0
2019-03-17 17:45:00+00:00,0,0,0,0,0
2019-03-17 18:00:00+00:00,0,0,0,0,0
2019-03-17 18:15:00+00:00,0,0,0,0,0
2019-03-17 18:30:00+00:00,0,0,0,0,0
2019-03-17 18:45:00+00:00,0,0,0,0,0
2019-03-17 19:00:00+00:00,0,0,0,0,0
2019-03-17 19:15:00+00:00,0,0,0,0,0
2019-03-17 19:30:00+00:00,0,0,0,0,0
2019-03-17 19:45:00+00:00,0,0,0,0,0
2019-03-17 20:00:00+00:00,0,0,0,0,0
2019-03-17 20:15:00+00:00,0,0,0,0,0
2019-03-17 20:30:00+00:00,0,0,0,0,0
2019-03-17 20:45:00+00:00,0,0,0,0,0
2019-03-17 21:00:00+00:00,0,0,0,0,0
2019-03-17 21:15:00+00:00,0,0,0,0,0
2019-03-17 21:30:00+00:00,0,0,0,0,0
2019-03-17 21:45:00+00:00,0,0,0,0,0
2019-03-17 22:00:00+00:00,0,0,0,0,0
2019-03-17 22:15:00+00:00,0,0,0,0,0
2019-03-17 22:30:00+00:00,2.3868,0.4889,0.0079,0.481,0.2205
2019-03-17 22:45:00+00:00,18.3462,4.7083,0.3641,4.3442,6.1038
2019-03-17 23:00:00+00:00,36.3014,11.4732,1.7996,9.6736,16.5675
2019-03-17 23:15:00+00:00,54.0832,20.1172,4.654,15.4633,29.243
2019-03-17 23:30:00+00:00,71.6153,30.2663,8.9403,21.326,42.6732
2019-03-17 23:45:00+00:00,88.8228,41.532,14.503,27.029,55.962
2019-03-18 00:00:00+00:00,105.6322,53.4858,21.0382,32.4476,68.3609
2019-03-18 00:15:00+00:00,121.9712,65.7798,28.2444,37.5353,79.5431
2019-03-18 00:30:00+00:00,137.77,78.2004,35.9358,42.2646,89.6397
2019-03-18 00:45:00+00:00,152.9609,90.5351,43.906,46.6291,98.6734
2019-03-18 01:00:00+00:00,167.4791,102.6115,51.9773,50.6343,106.7073
2019-03-18 01:15:00+00:00,181.2622,114.2882,59.9963,54.2919,113.8194
2019-03-18 01:30:00+00:00,194.2514,125.4476,67.831,57.6166,120.089
2019-03-18 01:45:00+00:00,206.391,135.9908,75.3667,60.6241,125.5905
2019-03-18 02:00:00+00:00,217.629,145.8328,82.5033,63.3295,130.3897
2019-03-18 02:15:00+00:00,227.9175,154.9006,89.1538,65.7468,134.5444
2019-03-18 02:30:00+00:00,237.2124,163.1311,95.2422,67.8889,138.104
2019-03-18 02:45:00+00:00,245.4738,170.4698,100.7029,69.7669,141.1102
2019-03-18 03:00:00+00:00,252.6666,176.7052,105.0811,71.6242,143.0575
2019-03-18 03:15:00+00:00,258.7599,181.7971,108.3053,73.4918,143.9755
2019-03-18 03:30:00+00:00,263.7277,185.8781,110.7325,75.1455,144.4295
2019-03-18 03:45:00+00:00,267.5487,188.9229,112.3436,76.5793,144.4378
2019-03-18 04:00:00+00:00,270.2068,190.9125,113.1269,77.7856,144.0137
2019-03-18 04:15:00+00:00,271.6905,191.8336,113.0788,78.7549,143.1653
2019-03-18 04:30:00+00:00,271.9935,191.6792,112.2028,79.4764,141.8968
2019-03-18 04:45:00+00:00,271.1148,190.448,110.5105,79.9375,140.2081
2019-03-18 05:00:00+00:00,269.058,188.145,108.0211,80.1239,138.0955
2019-03-18 05:15:00+00:00,265.832,184.7816,104.7619,80.0197,135.5519
2019-03-18 05:30:00+00:00,261.4509,180.3759,100.7685,79.6073,132.567
2019-03-18 05:45:00+00:00,255.9334,174.9526,96.0851,78.8675,129.1276
2019-03-18 06:00:00+00:00,249.3032,168.9337,91.6798,77.2539,126.4865
2019-03-18 06:15:00+00:00,241.5889,162.3532,87.5335,74.8196,124.6193
2019-03-18 06:30:00+00:00,232.8235,154.8633,82.741,72.1223,122.2273
2019-03-18 06:45:00+00:00,223.0447,146.5155,77.3546,69.1609,119.2756
2019-03-18 07:00:00+00:00,212.2945,137.3695,71.4364,65.9331,115.7222
2019-03-18 07:15:00+00:00,200.619,127.4941,65.0589,62.4352,111.5174
2019-03-18 07:30:00+00:00,188.0683,116.9684,58.306,58.6624,106.6026
2019-03-18 07:45:00+00:00,174.6963,105.8819,51.2765,54.6054,100.9145
2019-03-18 08:00:00+00:00,160.5603,94.3158,44.1143,50.2015,94.4475
2019-03-18 08:15:00+00:00,145.7211,82.4219,36.9207,45.5011,87.0749
2019-03-18 08:30:00+00:00,130.2421,70.3638,29.8328,40.531,78.6917
2019-03-18 08:45:00+00:00,114.1899,58.3261,23.027,35.2991,69.238
2019-03-18 09:00:00+00:00,97.6333,46.571,16.714,29.857,58.7209
2019-03-18 09:15:00+00:00,80.6432,35.3453,11.1032,24.2421,47.1396
2019-03-18 09:30:00+00:00,63.2926,24.9217,6.4457,18.476,34.7351
2019-03-18 09:45:00+00:00,45.6558,15.675,3.0006,12.6744,22.2089
2019-03-18 10:00:00+00:00,27.8086,8.0114,0.9274,7.084,10.9367
2019-03-18 10:15:00+00:00,9.8273,2.2846,0.1063,2.1783,2.5087
2019-03-18 10:30:00+00:00,0,0,0,0,0
2019-03-18 10:45:00+00:00,0,0,0,0,0
