# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.1 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-03-05T00:00:00.0
# Date end (ISO 8601): 2019-03-19T00:00:00.0
# Latitude (positive North, ISO 19115): 36.7076
# Longitude (positive East, ISO 19115): 113.9000
# Altitude (m): 471.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2021-08-23
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-03-05T00:00:00.0/2019-03-05T00:15:00.0;84.6679;28.3296;4.1956;24.1340;17.0753
2019-03-05T00:15:00.0/2019-03-05T00:30:00.0;101.0877;37.1469;6.6278;30.5191;22.6318
2019-03-05T00:30:00.0/2019-03-05T00:45:00.0;116.9782;46.6034;9.6794;36.9240;28.5906
2019-03-05T00:45:00.0/2019-03-05T01:00:00.0;132.2714;56.4994;13.3108;43.1886;34.7947
2019-03-05T01:00:00.0/2019-03-05T01:15:00.0;146.9018;66.6535;17.4356;49.2178;41.0567
2019-03-05T01:15:00.0/2019-03-05T01:30:00.0;160.8067;76.8729;21.9627;54.9102;47.2600
2019-03-05T01:30:00.0/2019-03-05T01:45:00.0;173.9267;86.9808;26.7889;60.1919;53.3087
2019-03-05T01:45:00.0/2019-03-05T02:00:00.0;186.2056;96.8188;31.8057;65.0131;59.1281
2019-03-05T02:00:00.0/2019-03-05T02:15:00.0;197.5909;106.2480;36.9044;69.3436;64.6615
2019-03-05T02:15:00.0/2019-03-05T02:30:00.0;208.0338;115.1476;41.9794;73.1681;69.8678
2019-03-05T02:30:00.0/2019-03-05T02:45:00.0;217.4896;123.4136;46.9310;76.4826;74.7181
2019-03-05T02:45:00.0/2019-03-05T03:00:00.0;225.9179;130.9569;51.6663;79.2906;79.1925
2019-03-05T03:00:00.0/2019-03-05T03:15:00.0;233.2826;136.9423;54.8607;82.0816;81.4460
2019-03-05T03:15:00.0/2019-03-05T03:30:00.0;239.5522;141.2659;56.3053;84.9606;81.4036
2019-03-05T03:30:00.0/2019-03-05T03:45:00.0;244.6999;144.6274;57.1468;87.4806;80.8824
2019-03-05T03:45:00.0/2019-03-05T04:00:00.0;248.7038;146.9998;57.3813;89.6185;79.9066
2019-03-05T04:00:00.0/2019-03-05T04:15:00.0;251.5466;148.3638;57.0140;91.3498;78.4974
2019-03-05T04:15:00.0/2019-03-05T04:30:00.0;253.2163;148.7206;56.1042;92.6164;76.7344
2019-03-05T04:30:00.0/2019-03-05T04:45:00.0;253.7058;148.1976;55.1482;93.0494;75.2804
2019-03-05T04:45:00.0/2019-03-05T05:00:00.0;253.0130;146.6967;53.8017;92.8951;73.6423
2019-03-05T05:00:00.0/2019-03-05T05:15:00.0;251.1410;144.1935;51.9492;92.2443;71.6353
2019-03-05T05:15:00.0/2019-03-05T05:30:00.0;248.0978;140.7136;49.6302;91.0834;69.2753
2019-03-05T05:30:00.0/2019-03-05T05:45:00.0;243.8966;136.2927;46.8923;89.4004;66.5790
2019-03-05T05:45:00.0/2019-03-05T06:00:00.0;238.5553;130.9765;43.7903;87.1862;63.5643
2019-03-05T06:00:00.0/2019-03-05T06:15:00.0;232.0970;125.1507;40.7601;84.3906;60.8121
2019-03-05T06:15:00.0/2019-03-05T06:30:00.0;224.5494;118.8562;37.8126;81.0436;58.3082
2019-03-05T06:30:00.0/2019-03-05T06:45:00.0;215.9448;111.8232;34.6062;77.2170;55.4869
2019-03-05T06:45:00.0/2019-03-05T07:00:00.0;206.3203;104.1335;31.2033;72.9302;52.3609
2019-03-05T07:00:00.0/2019-03-05T07:15:00.0;195.7170;95.8817;27.6722;68.2095;48.9466
2019-03-05T07:15:00.0/2019-03-05T07:30:00.0;184.1805;87.1756;24.0854;63.0902;45.2652
2019-03-05T07:30:00.0/2019-03-05T07:45:00.0;171.7604;78.1366;20.5186;57.6181;41.3438
2019-03-05T07:45:00.0/2019-03-05T08:00:00.0;158.5098;68.8995;17.0487;51.8508;37.2160
2019-03-05T08:00:00.0/2019-03-05T08:15:00.0;144.4855;59.6109;13.7515;45.8594;32.9227
2019-03-05T08:15:00.0/2019-03-05T08:30:00.0;129.7478;50.4279;10.6991;39.7289;28.5124
2019-03-05T08:30:00.0/2019-03-05T08:45:00.0;114.3599;41.5133;7.9564;33.5569;24.0413
2019-03-05T08:45:00.0/2019-03-05T09:00:00.0;98.3876;33.0303;5.5785;27.4518;19.5734
2019-03-05T09:00:00.0/2019-03-05T09:15:00.0;81.8996;25.2215;3.6513;21.5702;15.3706
2019-03-05T09:15:00.0/2019-03-05T09:30:00.0;64.9665;18.1571;2.1521;16.0050;11.3840
2019-03-05T09:30:00.0/2019-03-05T09:45:00.0;47.6609;11.8574;1.0449;10.8125;7.4759
2019-03-05T09:45:00.0/2019-03-05T10:00:00.0;30.0571;6.4688;0.3476;6.1212;3.8376
2019-03-05T10:00:00.0/2019-03-05T10:15:00.0;12.2304;2.1827;0.0400;2.1427;0.8400
2019-03-05T10:15:00.0/2019-03-05T10:30:00.0;0.2751;0.0398;0.0001;0.0398;0.0000
2019-03-05T10:30:00.0/2019-03-05T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T10:45:00.0/2019-03-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:00:00.0/2019-03-05T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:15:00.0/2019-03-05T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:30:00.0/2019-03-05T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:45:00.0/2019-03-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:00:00.0/2019-03-05T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:15:00.0/2019-03-05T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:30:00.0/2019-03-05T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:45:00.0/2019-03-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:00:00.0/2019-03-05T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:15:00.0/2019-03-05T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:30:00.0/2019-03-05T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:45:00.0/2019-03-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:00:00.0/2019-03-05T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:15:00.0/2019-03-05T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:30:00.0/2019-03-05T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:45:00.0/2019-03-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:00:00.0/2019-03-05T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:15:00.0/2019-03-05T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:30:00.0/2019-03-05T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:45:00.0/2019-03-05T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:00:00.0/2019-03-05T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:15:00.0/2019-03-05T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:30:00.0/2019-03-05T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:45:00.0/2019-03-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:00:00.0/2019-03-05T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:15:00.0/2019-03-05T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:30:00.0/2019-03-05T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:45:00.0/2019-03-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
